number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.7487155596955114,2026-04-11 20:58:20.346468,2026-04-11 20:58:38.880766,0 days 00:00:18.534298,0.5779972601681014,0.17254716573280354,7,124,1179,115,3.3323645788192616e-08,0.6245760287469893,0.5780093202212182,COMPLETE
1,0.75733720981903,2026-04-11 20:58:38.880766,2026-04-11 20:59:03.192222,0 days 00:00:24.311456,0.5909124836035503,0.010636066512540286,7,168,1464,190,4.4734294104626844e-07,5.472429642032198e-06,0.6061695553391381,COMPLETE
2,0.7557707018050414,2026-04-11 20:59:03.192222,2026-04-11 20:59:11.142626,0 days 00:00:07.950404,0.6831809216468459,0.023927528765580644,4,36,1034,128,0.00012724181576752517,0.1165691561324743,0.6460723242676091,COMPLETE
3,0.7549537128964762,2026-04-11 20:59:11.146646,2026-04-11 20:59:26.794108,0 days 00:00:15.647462,0.5325257964926398,0.05898602410432694,9,126,355,146,3.4671276804481113,4.905556676028774,0.5852620618436457,COMPLETE
4,0.7557256720210161,2026-04-11 20:59:26.794108,2026-04-11 20:59:37.599768,0 days 00:00:10.805660,0.7475884550556351,0.013399060561509796,5,94,1121,99,2.039373116525212e-08,1.527156759251193,0.5610191174223894,COMPLETE
5,0.7509915457691574,2026-04-11 20:59:37.599768,2026-04-11 20:59:59.499872,0 days 00:00:21.900104,0.9847923138822793,0.02544166090938368,10,114,924,180,0.09466630153726856,2.854239907497756,0.5924272277627636,COMPLETE
6,0.7454271908413945,2026-04-11 20:59:59.500872,2026-04-11 21:00:16.642505,0 days 00:00:17.141633,0.6626651653816322,0.15826541904647565,9,47,406,165,3.148441347423712e-05,2.7678419414850017e-06,0.522613644455269,COMPLETE
7,0.7557140946026325,2026-04-11 21:00:16.642505,2026-04-11 21:00:25.465683,0 days 00:00:08.823178,0.5372753218398854,0.023200867504756827,4,36,951,111,7.620481786158549,0.08916674715636537,0.9010984903770198,COMPLETE
8,0.7536183383656928,2026-04-11 21:00:25.467688,2026-04-11 21:00:31.278884,0 days 00:00:05.811196,0.5370223258670452,0.11506408247250169,9,149,1148,32,1.683416412018213e-05,1.1036250149900698e-07,0.8856351733429728,COMPLETE
9,0.7546367047227237,2026-04-11 21:00:31.278884,2026-04-11 21:00:40.598262,0 days 00:00:09.319378,0.864803089169032,0.026946865572417687,6,69,376,171,0.005470376807480391,0.9658611176861268,0.6625916610133735,COMPLETE
